Meidericher SV				;	MSV Duisburg
Frankfurter SG Eintracht	;	Eintracht Frankfurt
SV Bayer 04 Leverkusen		;	Bayer Leverkusen
TSG Ulm 1846				;	SSV Ulm 1846
Chio Waldhof 07				;	SV Chio Waldhof
SC Viktoria 04 Köln			;	Viktoria Köln
Lüneburger SK				;	Lüneburger SK Hansa
SpVgg Fürth					;	SpVgg Greuther Fürth
1. FC Eintracht Bamberg		;	Eintracht Bamberg
BVL 08 Remscheid			;	FC Remscheid
SV Phönix 03				;	SV Südwest Ludwigshafen
TSG Hoffenheim				;	1899 Hoffenheim
FC Bayern Hof				;	SpVgg Bayern Hof
TuS Bremerhaven 93			;	OSC Bremerhaven
Bayer 05 Uerdingen			;	KFC Uerdingen 05
SSV Jahn Regensburg			;	Jahn Regensburg
